,session_id,acq_time,Session,Subject,Acquisition_Time,Acquisition_Time_Difference,Time_Difference_in_Hours,Scaled_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference
0,ses-func01,1895-06-04T00:06:04,1,10,1895-06-04 00:06:04,,,,0.8752925808564169,
1,ses-func02,1895-06-07T00:06:23,2,10,1895-06-07 00:06:23,3 days 00:00:19,72.00527777777778,0.8662520259036904,0.9361530822686316,0.06086050141221466
2,ses-func03,1895-06-08T00:11:42,3,10,1895-06-08 00:11:42,1 days 00:05:19,24.08861111111111,0.7326759583986049,0.8076747624965127,-0.12847831977211888
3,ses-func04,1895-06-09T00:12:51,4,10,1895-06-09 00:12:51,1 days 00:01:09,24.019166666666667,0.7324823698949743,0.6951861089843384,-0.1124886535121743
4,ses-func05,1895-06-13T00:08:53,5,10,1895-06-13 00:08:53,3 days 23:56:02,95.93388888888889,0.9329572037766792,0.9833451914828388,0.2881590824985004
5,ses-func06,1895-06-14T00:12:11,6,10,1895-06-14 00:12:11,1 days 00:03:18,24.055,0.7325822615628477,,
6,ses-func07,1895-06-17T00:10:53,7,10,1895-06-17 00:10:53,2 days 23:58:42,71.97833333333334,0.8661769135642818,0.8805971082900973,
7,ses-func08,1895-06-22T00:09:54,8,10,1895-06-22 00:09:54,4 days 23:59:01,119.98361111111112,1.0,0.7873002749237267,-0.09329683336637062
8,ses-func09,1895-06-23T00:11:08,9,10,1895-06-23 00:11:08,1 days 00:01:14,24.020555555555557,0.7324862416650469,0.8507212430770037,0.06342096815327702
9,ses-func10,1895-06-24T00:08:24,10,10,1895-06-24 00:08:24,0 days 23:57:16,23.954444444444444,0.7323019454095906,0.9120254792457061,0.0613042361687024
10,ses-func11,1895-06-14T01:24:06,11,10,1895-06-14 01:24:06,-10 days +01:15:42,-238.73833333333334,0.0,,
