,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1895-04-12T00:20:32,1895-04-12 00:20:32,,,,
1,ses-func02,1895-04-14T00:18:37,1895-04-14 00:18:37,1 days 23:58:05,,,47.96805555555556
2,ses-func03,1895-04-18T00:34:15,1895-04-18 00:34:15,4 days 00:15:38,,,96.26055555555556
3,ses-func04,1895-04-20T00:12:06,1895-04-20 00:12:06,1 days 23:37:51,,,47.630833333333335
4,ses-func05,1895-04-21T00:18:04,1895-04-21 00:18:04,1 days 00:05:58,,,24.099444444444444
5,ses-func06,1895-04-23T00:15:16,1895-04-23 00:15:16,1 days 23:57:12,,,47.95333333333333
6,ses-func07,1895-04-24T00:35:55,1895-04-24 00:35:55,1 days 00:20:39,,,24.344166666666666
7,ses-func08,1895-04-27T00:10:09,1895-04-27 00:10:09,2 days 23:34:14,,,71.57055555555556
8,ses-func09,1895-04-28T00:13:20,1895-04-28 00:13:20,1 days 00:03:11,,,24.053055555555556
9,ses-func10,1895-04-29T00:09:24,1895-04-29 00:09:24,0 days 23:56:04,,,23.934444444444445
